"Title:","Initial Unemployment Claims from the Unemployment Insurance Weekly Claims Insurance - Detail Database"
"SubTitle:","State - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","04/06/1985 - 11/05/2022"
"Unit of Measure:","#","#","#","#","#"
"Citation:","Employment and Training Administration, United States Department of Labor (2022-11-11). Unemployment Insurance Weekly Claims Insurance - Detail: Initial Unemployment Claims | Alaska, California, Hawaii, New York, Wyoming | Non-Seasonally Adjusted, 04/06/1985 - 11/05/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  060-001-001 doi:https://doi.org/10.6068/DP1846838569328"
"ColumnCount:",6
"RowCount:",1938

"Time","Alaska, Non-Seasonally Adjusted, Initial Claims","California, Non-Seasonally Adjusted, Initial Claims","Hawaii, Non-Seasonally Adjusted, Initial Claims","New York, Non-Seasonally Adjusted, Initial Claims","Wyoming, Non-Seasonally Adjusted, Initial Claims"
"10/05/2019",856,33295,1268,11809,436
"10/12/2019",1184,40140,1150,14973,476
"10/19/2019",1005,39156,1298,12021,512
"10/26/2019",1109,41025,1123,13013,412
"11/02/2019",1166,39277,955,12947,750
"11/09/2019",1319,45761,1131,15670,798
"11/16/2019",1194,40688,976,15904,521
"11/23/2019",1243,49075,1120,18948,608
"11/30/2019",941,36410,963,13493,589
"12/07/2019",1146,48359,1435,24370,760
"12/14/2019",949,47383,1052,18070,542
"12/21/2019",1027,49868,1110,16038,629
"12/28/2019",860,34205,1245,18374,630
"01/04/2020",981,36683,1825,44818,662
"01/11/2020",1371,51896,1826,23271,829
"01/18/2020",1181,64768,1234,17791,636
"01/25/2020",1003,45518,1014,14982,531
"02/01/2020",1122,43336,1135,16505,529
"02/08/2020",980,40300,1137,14949,589
"02/15/2020",915,43382,1199,14285,598
"02/22/2020",773,34937,1020,14102,389
"02/29/2020",874,41621,1049,31169,471
"03/07/2020",815,43318,1275,13999,534
"03/14/2020",1120,57552,1589,14233,517
"03/21/2020",7847,186262,8817,79946,3653
"03/28/2020",13774,1058221,48596,365816,6396
"04/04/2020",14590,918530,53102,343538,6543
"04/11/2020",12007,654990,34717,393541,5794
"04/18/2020",12201,527905,26591,204111,4381
"04/25/2020",10313,325075,22496,218175,3497
"05/02/2020",8718,315893,15177,194049,2854
"05/09/2020",7807,211945,12329,198054,3297
"05/16/2020",7741,243749,10964,228215,2303
"05/23/2020",8152,202728,9140,188198,2800
"05/30/2020",7452,228067,7702,81135,2421
"06/06/2020",7081,255234,7338,92939,2013
"06/13/2020",6797,240665,7248,94797,1539
"06/20/2020",6757,283622,7178,88594,1402
"06/27/2020",6467,276649,8193,89339,1418
"07/04/2020",6124,263995,7648,93142,1338
"07/11/2020",9572,284218,7668,91059,1485
"07/18/2020",6606,288995,7581,87824,2664
"07/25/2020",6069,244105,5885,84800,1600
"08/01/2020",5195,221424,5049,73861,1130
"08/08/2020",4619,202136,5296,52546,1115
"08/15/2020",4731,189907,5493,62408,861
"08/22/2020",4344,196548,5775,62487,963
"08/29/2020",4057,219184,6748,63149,957
"09/05/2020",3817,243054,7464,64548,793
"09/12/2020",3593,225715,7307,61766,697
"09/19/2020",3631,225899,6757,69663,746
"09/26/2020",3600,171092,5682,64602,801
"10/03/2020",3719,148165,5083,64072,759
"10/10/2020",5708,175996,4873,66292,944
"10/17/2020",4608,159807,5104,54789,1375
"10/24/2020",4388,152081,4906,51507,1129
"10/31/2020",4451,152334,4689,45578,981
"11/07/2020",4545,157657,4245,43741,1182
"11/14/2020",4605,158790,4328,43312,940
"11/21/2020",4531,168175,4229,46746,1005
"11/28/2020",3834,130355,3543,45806,610
"12/05/2020",4525,178662,4272,62569,907
"12/12/2020",4507,204360,4628,58049,934
"12/19/2020",4016,158652,3974,41056,964
"12/26/2020",3923,168724,3464,51362,832
"01/02/2021",2947,160954,3984,56871,886
"01/09/2021",3900,182550,5058,73031,1315
"01/16/2021",4902,117100,4502,62011,1166
"01/23/2021",3975,58098,3898,66161,1021
"01/30/2021",4190,109101,3809,77297,979
"02/06/2021",3997,137749,3624,59819,897
"02/13/2021",3468,139561,3875,56799,999
"02/20/2021",3994,90364,2846,47759,968
"02/27/2021",3781,88910,2669,60072,981
"03/06/2021",3340,106695,2471,48170,859
"03/13/2021",3233,109264,2663,47159,807
"03/20/2021",2773,95934,3287,35927,804
"03/27/2021",3330,106311,5598,39646,852
"04/03/2021",3707,81263,4587,42238,874
"04/10/2021",4553,69272,3939,58282,1293
"04/17/2021",3904,72702,3598,41508,2003
"04/24/2021",3398,78359,3205,40932,1163
"05/01/2021",2829,70564,2794,31422,858
"05/08/2021",3093,69667,2777,23286,774
"05/15/2021",2755,70183,2543,20696,676
"05/22/2021",3103,71004,2391,19428,568
"05/29/2021",2959,71939,2175,19553,416
"06/05/2021",2166,52741,2020,18468,512
"06/12/2021",1744,67940,2043,19141,481
"06/19/2021",1656,63824,2215,18428,404
"06/26/2021",1591,56195,1846,20253,387
"07/03/2021",1348,58727,2318,25006,329
"07/10/2021",1852,56811,2966,33192,410
"07/17/2021",1631,56358,2738,22468,330
"07/24/2021",1520,64401,2639,18802,304
"07/31/2021",1558,62111,1945,17443,302
"08/07/2021",1322,65399,2150,14526,302
"08/14/2021",1362,64627,2093,14702,278
"08/21/2021",1787,63279,2018,14904,284
"08/28/2021",1117,56285,2206,18692,341
"09/04/2021",1115,57502,2390,15666,314
"09/11/2021",1140,51558,2051,16760,260
"09/18/2021",1237,68771,3526,14486,294
"09/25/2021",1237,78675,3986,15381,321
"10/02/2021",1168,63953,2383,14149,343
"10/09/2021",1423,63099,2261,15376,447
"10/16/2021",1311,72846,1814,13249,540
"10/23/2021",1338,59722,1863,13574,495
"10/30/2021",1379,59235,1701,13570,526
"11/06/2021",1438,54998,1654,14463,613
"11/13/2021",1423,59684,1549,14158,549
"11/20/2021",1451,52442,1544,14946,586
"11/27/2021",1253,46837,1204,14856,420
"12/04/2021",1400,55318,1851,23373,620
"12/11/2021",1258,55874,1615,15218,558
"12/18/2021",1278,56083,1858,15356,563
"12/25/2021",1134,48792,1394,17647,559
"01/01/2022",1055,50121,1769,26462,577
"01/08/2022",1475,61428,2836,37091,952
"01/15/2022",1242,62206,2223,23229,569
"01/22/2022",1168,54144,1677,17505,409
"01/29/2022",1173,51553,1541,18186,498
"02/05/2022",1099,47317,1479,16667,501
"02/12/2022",1120,45692,1474,16254,435
"02/19/2022",972,43518,1403,13223,359
"02/26/2022",905,38094,1060,13231,483
"03/05/2022",969,43553,1312,29392,408
"03/12/2022",997,44830,1203,13288,401
"03/19/2022",917,39020,1267,12737,433
"03/26/2022",856,42261,1154,13482,301
"04/02/2022",825,43351,1605,12595,294
"04/09/2022",960,46548,1385,14081,452
"04/16/2022",853,46242,1028,11165,587
"04/23/2022",854,43371,1143,15941,491
"04/30/2022",811,40562,1104,23272,314
"05/07/2022",799,43618,1262,13360,275
"05/14/2022",716,45589,1243,13338,248
"05/21/2022",815,39469,1164,11902,289
"05/28/2022",946,41388,1220,12947,293
"06/04/2022",757,41174,1285,12325,255
"06/11/2022",776,45134,1332,12500,306
"06/18/2022",731,43950,1336,12411,286
"06/25/2022",698,41452,1086,12124,295
"07/02/2022",632,44282,1200,17292,256
"07/09/2022",710,40458,1075,27348,288
"07/16/2022",667,43149,1240,20151,235
"07/23/2022",640,40008,1127,14375,220
"07/30/2022",644,39632,1271,13396,203
"08/06/2022",766,42384,1184,13488,222
"08/13/2022",687,39187,1041,13307,285
"08/20/2022",680,37043,931,13675,239
"08/27/2022",649,36255,1194,18333,207
"09/03/2022",652,36517,1097,14664,222
"09/10/2022",583,33465,1034,11759,218
"09/17/2022",642,34579,1055,13476,181
"09/24/2022",596,34328,948,12070,213
"10/01/2022",651,35571,937,11739,270
"10/08/2022",849,40554,1071,15119,399
"10/15/2022",829,37730,1263,12009,379
"10/22/2022",961,37986,1223,13748,427
"10/29/2022",1034,39984,1041,13580,438
"11/05/2022",1141,43419,718,13968,528



"Publisher:", "United States Department of Labor"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
