"Title:","Initial Unemployment Claims from the Unemployment Insurance Weekly Claims Insurance - Detail Database"
"SubTitle:","State - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","04/06/1985 - 11/05/2022"
"Unit of Measure:","#","#","#","#","#"
"Citation:","Employment and Training Administration, United States Department of Labor (2022-11-11). Unemployment Insurance Weekly Claims Insurance - Detail: Initial Unemployment Claims | Alaska, California, Hawaii, New York, Wyoming | Non-Seasonally Adjusted, 04/06/1985 - 11/05/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  060-001-001 doi:https://doi.org/10.6068/DP1846838569328"
"ColumnCount:",6
"RowCount:",1938

"Time","Alaska, Non-Seasonally Adjusted, Initial Claims","California, Non-Seasonally Adjusted, Initial Claims","Hawaii, Non-Seasonally Adjusted, Initial Claims","New York, Non-Seasonally Adjusted, Initial Claims","Wyoming, Non-Seasonally Adjusted, Initial Claims"
"04/04/1992",2362,83457,1548,24766,672
"04/11/1992",2437,72104,1621,24475,806
"04/18/1992",2342,69654,1181,23597,610
"04/25/1992",2026,62924,1303,24432,607
"05/02/1992",1758,66396,1530,29399,531
"05/09/1992",1713,78500,1601,26550,546
"05/16/1992",1652,73214,1431,23383,577
"05/23/1992",1848,69043,1448,22298,512
"05/30/1992",1376,62809,1246,18499,409
"06/06/1992",1887,75452,1523,23537,664
"06/13/1992",2065,79202,1520,21759,601
"06/20/1992",1768,76295,1957,21035,554
"06/27/1992",1624,76223,1421,23513,434
"07/04/1992",1361,81291,1338,30534,466
"07/11/1992",1872,75608,1903,30941,651
"07/18/1992",1562,68225,1379,26781,450
"07/25/1992",1676,66414,1269,33582,414
"08/01/1992",1228,67357,1452,32508,422
"08/08/1992",1408,72625,1564,23974,413
"08/15/1992",1422,64109,1273,20828,371
"08/22/1992",1517,63609,1207,20684,420
"08/29/1992",1276,64350,1351,19965,466
"09/05/1992",1678,64883,1663,21183,439
"09/12/1992",1113,61374,1098,17942,392
"09/19/1992",1761,68992,1694,22629,384
"09/26/1992",1536,68068,4693,19101,343
"10/03/1992",1677,71093,3346,20012,405
"10/10/1992",2489,67586,2056,22268,669
"10/17/1992",2288,61419,1700,17929,553
"10/24/1992",1822,68349,1581,22392,523
"10/31/1992",2214,67784,1302,21436,555
"11/07/1992",2143,77857,1506,22338,883
"11/14/1992",1465,62817,1254,21619,636
"11/21/1992",2116,70883,1486,25382,648
"11/28/1992",1297,46658,1192,21326,702
"12/05/1992",1692,74502,1850,28047,966
"12/12/1992",1512,77868,1319,24936,746
"12/19/1992",1697,66615,1369,23930,694
"12/26/1992",1413,54873,1291,24074,688
"01/02/1993",1587,59912,1504,29157,626
"01/09/1993",2402,85358,2667,35719,1142
"01/16/1993",2041,79100,2061,33311,882
"01/23/1993",1922,74707,1372,23546,653
"01/30/1993",2331,70388,1531,24244,664
"02/06/1993",1882,75772,1711,23541,791
"02/13/1993",1790,69190,1573,21388,693
"02/20/1993",1488,73369,1978,17224,694
"02/27/1993",1911,74701,1564,25054,721
"03/06/1993",1621,70736,1738,23759,620
"03/13/1993",1699,68071,1605,21512,473
"03/20/1993",1626,59412,1570,18686,536
"03/27/1993",1467,62629,1205,20364,488
"04/03/1993",1868,66449,1777,18696,438
"04/10/1993",2234,58997,1778,20228,679
"04/17/1993",2012,55971,1441,22901,556
"04/24/1993",2090,55285,1455,24586,485
"05/01/1993",1852,56217,1524,19341,409
"05/08/1993",1774,63070,1584,19333,433
"05/15/1993",1486,57431,1349,18177,309
"05/22/1993",1248,54135,1456,17388,386
"05/29/1993",1581,54673,1275,18091,363
"06/05/1993",1302,52731,1403,17497,290
"06/12/1993",1574,60014,1269,19710,352
"06/19/1993",1578,60033,1788,17404,248
"06/26/1993",1488,61613,1360,17733,341
"07/03/1993",1361,63896,1490,22569,261
"07/10/1993",1309,54158,1537,20534,383
"07/17/1993",1420,59078,1500,26092,376
"07/24/1993",1398,57176,1372,21770,334
"07/31/1993",1386,54231,1341,23538,259
"08/07/1993",1207,60712,1711,19094,274
"08/14/1993",1182,54865,1302,16762,299
"08/21/1993",1269,53355,1099,16686,368
"08/28/1993",1249,50675,1302,16767,273
"09/04/1993",1468,53010,1246,16599,321
"09/11/1993",1317,45728,1169,14883,331
"09/18/1993",1449,53881,1388,18183,303
"09/25/1993",1435,54470,1176,17384,281
"10/02/1993",1859,54888,1227,17062,284
"10/09/1993",2295,65960,1965,19189,470
"10/16/1993",2125,59626,1330,16892,466
"10/23/1993",2095,66155,1418,20829,499
"10/30/1993",2208,61905,1410,20407,526
"11/06/1993",2121,69703,2241,21892,688
"11/13/1993",1821,63044,1313,20895,577
"11/20/1993",2173,69713,1494,25044,688
"11/27/1993",1760,48643,1210,20717,652
"12/04/1993",1871,70193,1742,26422,872
"12/11/1993",1854,63267,1734,26314,718
"12/18/1993",1941,64320,1617,24346,565
"12/25/1993",1810,59330,1396,24243,584
"01/01/1994",1486,54267,1626,28691,616
"01/08/1994",2787,67450,2525,32658,1243
"01/15/1994",2299,65961,1770,33516,809
"01/22/1994",2416,56790,1701,22637,736
"01/29/1994",2223,73887,2067,27276,684
"02/05/1994",2363,76965,1825,25807,706
"02/12/1994",2055,81567,1792,21726,760
"02/19/1994",2073,70968,2155,21407,564
"02/26/1994",1614,58340,1935,17757,542
"03/05/1994",1994,68066,1771,24366,647
"03/12/1994",1962,64434,1525,20959,535
"03/19/1994",1989,61200,1576,19797,443
"03/26/1994",1955,61450,1524,19266,442
"04/02/1994",1979,59354,1931,19243,395
"04/09/1994",2427,60188,2192,23222,633
"04/16/1994",2279,57912,1555,21976,612
"04/23/1994",2430,57428,4054,17916,557
"04/30/1994",1841,63518,3826,18749,544
"05/07/1994",2082,73591,2565,20511,543
"05/14/1994",1850,66372,3071,18611,455
"05/21/1994",1645,64405,3857,18096,388
"05/28/1994",1630,60887,3319,21028,357
"06/04/1994",1526,56073,2147,16921,334
"06/11/1994",1727,65804,1833,18894,376
"06/18/1994",2028,67623,2372,16958,375
"06/25/1994",1854,72282,1770,18665,320
"07/02/1994",1916,69520,1741,24306,397
"07/09/1994",1577,58582,2225,26216,493
"07/16/1994",1735,64851,2011,25394,388
"07/23/1994",1735,61496,1531,19506,331
"07/30/1994",1735,59707,1574,17318,271
"08/06/1994",3156,66746,1693,18328,359
"08/13/1994",1912,63235,1587,16683,304
"08/20/1994",1387,58849,1275,17155,304
"08/27/1994",1825,55192,1546,18058,316
"09/03/1994",1570,58725,1703,17602,323
"09/10/1994",1181,52134,1792,15824,284
"09/17/1994",1433,61178,1675,20280,293
"09/24/1994",1597,59913,1622,17752,309
"10/01/1994",3282,62055,1468,17289,290
"10/08/1994",2001,71970,2040,20359,628
"10/15/1994",2712,58553,1950,16823,489
"10/22/1994",2276,67268,1615,19471,611
"10/29/1994",2448,61429,1470,19317,462
"11/05/1994",2269,75041,1726,21049,584
"11/12/1994",1773,71136,1215,25220,607
"11/19/1994",2152,86786,1607,18139,743
"11/26/1994",1837,51639,1355,19357,515
"12/03/1994",2194,75750,1751,29789,764
"12/10/1994",2397,66018,1868,25444,761
"12/17/1994",2046,67649,1702,25535,631
"12/24/1994",2256,68636,1775,25005,710
"12/31/1994",1565,60226,1645,25594,598
"01/07/1995",2447,76296,2472,39303,1081
"01/14/1995",3025,92801,2292,35710,1065
"01/21/1995",2676,69753,1922,24716,688
"01/28/1995",2709,79776,1873,25790,748
"02/04/1995",2235,82757,2032,23293,799
