"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Cadillac | Ford | Honda | Kia | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DDC34BC56"
"ColumnCount:",15
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Cadillac, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Kia, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Cadillac, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Kia, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"04/1992",7762,116,1354,314,,382,4388,116,664,180,,232,312,102
"05/1992",9096,154,1512,410,,424,5158,154,694,216,,302,484,132
"06/1992",9510,144,1668,436,,454,5228,144,790,204,,310,504,186
"07/1992",9340,150,1736,382,,474,5128,150,814,182,,302,410,122
"08/1992",9832,152,1818,424,,492,5462,152,868,216,,296,498,154
"09/1992",8694,104,1602,368,,422,4704,104,708,192,,248,386,120
"10/1992",10104,150,1766,402,,512,5788,150,848,274,,346,306,78
"11/1992",8796,118,1646,362,,474,5238,118,730,254,,314,192,70
"12/1992",9112,106,1776,312,,518,5434,106,824,268,,314,96,26
"01/1993",7498,116,1374,240,,368,4410,116,642,192,,254,134,46
"02/1993",6994,100,1234,234,,390,4148,100,590,194,,252,142,36
"03/1993",7946,98,1410,260,,400,4578,98,640,198,,254,234,56
"04/1993",8102,104,1458,334,,416,4578,104,674,176,,282,430,148
"05/1993",9308,140,1674,398,,508,5188,140,720,218,,312,606,170
"06/1993",9070,144,1614,404,,522,4946,144,708,232,,348,560,156
"07/1993",10202,132,1820,492,,498,5494,132,834,274,,286,736,202
"08/1993",10268,148,1734,486,,564,5412,148,736,252,,356,726,218
"09/1993",9548,132,1706,420,,474,5122,132,756,238,,306,616,174
"10/1993",10300,132,1918,392,,568,5994,132,926,266,,358,418,110
"11/1993",9292,132,1794,332,,456,5308,132,808,272,,280,212,54
"12/1993",9026,116,1764,260,,520,5338,116,850,218,,346,130,38
"01/1994",7634,122,1476,254,,420,4264,122,694,194,,256,132,52
"02/1994",7102,90,1340,264,,422,3926,90,594,212,,272,156,50
"03/1994",8116,96,1456,324,,418,4602,96,688,232,,254,288,84
"04/1994",8720,106,1558,378,,456,4838,106,730,240,,288,416,130
"05/1994",9298,142,1740,406,,474,5078,142,816,234,,308,578,150
"06/1994",9214,110,1668,480,,484,4906,110,750,284,,306,548,182
"07/1994",10052,138,1866,460,,524,5336,138,760,256,,360,700,190
"08/1994",10228,144,1882,474,,574,5484,144,836,272,,382,588,190
"09/1994",9624,98,1784,468,,496,5208,98,760,290,,320,504,160
"10/1994",10372,132,1960,412,,546,5692,132,844,292,,340,440,114
"11/1994",9506,120,1868,338,,528,5364,120,898,288,,328,186,46
"12/1994",9956,124,1852,362,,540,5850,124,862,308,,346,144,50
"01/1995",8298,86,1602,244,4,424,4634,86,730,198,4,258,110,36
"02/1995",7494,92,1444,280,4,452,4358,92,668,238,4,286,142,38
"03/1995",8682,118,1672,346,2,470,4846,118,770,262,2,284,250,78
"04/1995",8582,122,1636,388,2,460,4840,122,716,258,2,306,366,122
"05/1995",9058,100,1746,424,,474,4932,100,778,246,,306,528,162
"06/1995",9842,100,1700,436,2,554,5206,100,746,246,2,336,586,172
"07/1995",10122,130,1860,492,4,572,5360,130,808,266,4,356,618,210
"08/1995",10852,98,2002,562,2,618,5728,98,846,360,2,374,648,186
"09/1995",10194,114,1862,442,,514,5498,114,792,284,,312,504,150
"10/1995",10590,134,2014,452,2,526,5672,134,878,296,2,328,440,140
"11/1995",9630,140,1882,376,2,534,5360,140,818,318,2,322,190,46
"12/1995",9704,186,1854,368,2,542,5450,186,754,322,2,334,150,40
"01/1996",8414,110,1682,300,,432,4452,110,738,252,,254,152,44
"02/1996",8074,88,1512,274,4,398,4400,88,604,222,2,250,162,44
"03/1996",8764,106,1642,322,4,498,4814,106,734,244,4,306,212,68
"04/1996",8952,102,1716,376,,464,4986,102,756,272,,312,370,100
"05/1996",9318,126,1718,436,2,482,4938,126,744,280,2,302,490,142
"06/1996",10228,112,1826,470,8,578,5194,112,764,268,6,338,674,172
"07/1996",9590,122,1814,446,6,510,4998,122,798,260,4,288,514,170
"08/1996",10570,120,2008,484,6,496,5374,120,848,292,6,318,628,168
"09/1996",9874,146,1812,474,4,570,5284,146,796,290,4,360,494,160
"10/1996",10606,130,1950,486,8,558,5732,130,848,350,8,390,386,124
"11/1996",10102,112,1870,404,4,536,5590,112,768,348,2,320,144,46
"12/1996",10202,120,1946,390,2,578,5732,120,890,350,2,366,118,34
"01/1997",8752,92,1672,276,2,498,4830,92,714,250,2,276,104,26
"02/1997",7720,82,1546,324,,454,4186,82,650,262,,294,164,50
"03/1997",8576,116,1622,392,,476,4632,116,688,316,,310,268,64
"04/1997",8734,140,1690,354,8,468,4652,140,698,272,8,294,326,74
"05/1997",10174,146,2018,480,14,564,5328,146,868,298,8,342,484,148
"06/1997",9908,102,1858,514,10,538,5036,102,776,324,10,344,604,168
"07/1997",10252,124,2010,542,14,496,5244,124,828,322,12,316,582,194
"08/1997",10578,120,2038,532,6,538,5394,120,798,334,4,320,574,170
"09/1997",9432,88,1708,442,14,474,4762,88,728,298,10,284,464,118
"10/1997",10318,118,1938,436,2,532,5388,118,846,306,2,330,430,112
"11/1997",9600,118,1914,368,12,524,5132,118,796,314,6,316,182,40
"12/1997",10076,162,2008,338,6,524,5544,162,904,296,2,296,126,28
"01/1998",8510,114,1616,288,6,454,4514,114,652,260,6,280,124,18
"02/1998",7700,98,1530,316,14,458,4194,98,638,248,8,290,146,54
"03/1998",8508,136,1666,324,12,406,4478,136,680,244,8,254,216,68
"04/1998",8524,106,1646,398,8,450,4446,106,706,286,2,292,354,96
"05/1998",9540,112,1810,450,6,522,4798,112,768,286,2,300,558,152
"06/1998",9544,112,1892,446,4,454,4680,112,712,280,4,250,508,142
"07/1998",10430,136,2016,540,14,518,5144,136,796,318,14,312,714,202
"08/1998",10946,128,2110,512,12,606,5358,128,818,344,10,328,668,142
"09/1998",9826,116,1876,540,4,448,4848,116,738,342,4,264,538,164
"10/1998",10144,100,1944,458,8,472,5192,100,838,330,6,282,430,110
"11/1998",9662,130,1812,434,12,566,5046,130,754,366,8,344,242,58
"12/1998",10510,120,2138,362,8,498,5402,120,836,306,8,314,162,40
"01/1999",7834,82,1516,336,16,412,4024,82,610,284,12,256,114,34
"02/1999",7424,90,1474,308,14,426,3828,90,594,254,14,256,180,34
"03/1999",8686,88,1630,358,10,516,4464,88,666,276,10,336,278,72
"04/1999",8588,100,1644,394,12,456,4252,100,628,244,8,288,428,118
"05/1999",9988,102,1892,492,10,482,4928,102,736,318,4,288,562,146
"06/1999",9636,106,1832,446,20,442,4652,104,722,266,18,268,626,152
"07/1999",10288,120,2010,498,12,480,4766,118,768,290,8,284,706,180
"08/1999",10722,106,2136,556,16,496,4992,104,754,338,14,300,700,176
"09/1999",10050,148,1934,482,16,536,4728,146,716,298,8,342,582,144
"10/1999",10564,112,2150,502,28,544,5126,112,860,356,20,328,468,120
"11/1999",9876,122,1918,452,12,522,5052,120,758,364,6,302,270,70
"12/1999",9984,84,2076,452,24,520,5236,84,866,386,16,298,136,34
"01/2000",4402,44,866,170,15,231,2129,44,312,135,11,137,80,21
"02/2000",3904,34,808,185,5,202,1930,34,319,147,2,108,90,28
"03/2000",4369,49,832,196,9,212,2119,49,316,145,6,136,199,38
"04/2000",4639,36,935,261,9,233,2332,35,354,185,9,156,248,62
"05/2000",4863,61,894,258,16,239,2295,60,321,173,11,152,329,73
"06/2000",5027,47,911,285,12,250,2319,47,328,164,10,149,400,103
